 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2015
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";244;-;10;-;9;-;263
"350020 ADOLFO";-;2;8;-;-;-;10
"350030 AGUAI";-;9;10;7;6;-;32
"350040 AGUAS DA PRATA";-;1;3;2;2;-;8
"350050 AGUAS DE LINDOIA";94;-;12;2;7;-;115
"350055 AGUAS DE SANTA BARBARA";1;1;1;3;-;-;6
"350060 AGUAS DE SAO PEDRO";-;2;5;1;1;-;9
"350070 AGUDOS";56;1;12;8;3;-;80
"350075 ALAMBARI";-;-;2;1;-;-;3
"350080 ALFREDO MARCONDES";-;-;3;-;-;-;3
"350090 ALTAIR";1;3;-;1;1;-;6
"350100 ALTINOPOLIS";39;-;13;1;3;-;56
"350110 ALTO ALEGRE";6;-;2;1;-;-;9
"350115 ALUMINIO";-;20;4;2;2;-;28
"350120 ALVARES FLORENCE";-;1;5;1;-;-;7
"350130 ALVARES MACHADO";14;-;19;4;2;-;39
"350140 ALVARO DE CARVALHO";-;-;8;-;1;-;9
"350150 ALVINLANDIA";-;1;1;1;-;-;3
"350160 AMERICANA";733;3;65;20;8;-;829
"350170 AMERICO BRASILIENSE";182;-;24;8;9;-;223
"350180 AMERICO DE CAMPOS";-;3;14;3;-;-;20
"350190 AMPARO";328;2;35;15;6;-;386
"350200 ANALANDIA";-;3;1;2;2;-;8
"350210 ANDRADINA";304;26;50;4;3;-;387
"350220 ANGATUBA";72;1;7;7;1;-;88
"350230 ANHEMBI";1;-;8;4;3;-;16
"350240 ANHUMAS";-;-;2;2;1;-;5
"350250 APARECIDA";127;70;14;15;24;-;250
"350260 APARECIDA D'OESTE";6;-;7;-;-;-;13
"350270 APIAI";104;-;27;3;6;1;141
"350275 ARACARIGUAMA";1;28;8;7;4;-;48
"350280 ARACATUBA";1126;10;99;39;17;-;1291
"350290 ARACOIABA DA SERRA";3;15;20;3;2;-;43
"350300 ARAMINA";-;-;4;2;-;-;6
"350310 ARANDU";8;-;3;1;1;-;13
"350315 ARAPEI";-;1;5;-;-;-;6
"350320 ARARAQUARA";890;50;208;42;68;-;1258
"350330 ARARAS";501;2;23;14;21;-;561
"350335 ARCO-IRIS";-;-;1;1;-;-;2
"350340 AREALVA";9;-;14;-;1;-;24
"350350 AREIAS";-;-;10;-;-;-;10
"350360 AREIOPOLIS";4;2;7;-;-;-;13
"350370 ARIRANHA";10;-;11;3;1;-;25
"350380 ARTUR NOGUEIRA";68;2;25;7;5;-;107
"350390 ARUJA";149;13;54;17;19;-;252
"350395 ASPASIA";-;-;2;1;1;-;4
"350400 ASSIS";578;-;14;15;1;-;608
"350410 ATIBAIA";438;7;163;34;29;-;671
"350420 AURIFLAMA";40;-;11;-;1;-;52
"350430 AVAI";-;-;8;-;-;-;8
"350440 AVANHANDAVA";1;1;4;2;-;-;8
"350450 AVARE";203;121;20;15;12;-;371
"350460 BADY BASSITT";-;10;11;4;1;-;26
"350470 BALBINOS";-;-;1;-;-;-;1
"350480 BALSAMO";-;9;4;1;-;-;14
"350490 BANANAL";17;1;6;-;3;-;27
"350500 BARAO DE ANTONINA";-;-;-;2;-;-;2
"350510 BARBOSA";2;1;4;1;1;-;9
"350520 BARIRI";153;-;33;1;4;-;191
"350530 BARRA BONITA";149;-;13;2;4;-;168
"350535 BARRA DO CHAPEU";-;-;12;-;3;-;15
"350540 BARRA DO TURVO";-;10;5;2;4;-;21
"350550 BARRETOS";946;6;102;14;14;2;1084
"350560 BARRINHA";1;26;13;2;2;-;44
"350570 BARUERI";486;619;91;37;10;-;1243
"350580 BASTOS";15;8;8;4;1;-;36
"350590 BATATAIS";184;16;41;8;10;-;259
"350600 BAURU";1629;195;344;62;58;1;2289
"350610 BEBEDOURO";379;1;45;12;7;-;444
"350620 BENTO DE ABREU";-;-;1;4;1;-;6
"350630 BERNARDINO DE CAMPOS";35;-;11;5;1;-;52
"350635 BERTIOGA";84;1;42;18;62;1;208
"350640 BILAC";25;-;6;-;1;-;32
"350650 BIRIGUI";257;56;33;12;4;-;362
"350660 BIRITIBA-MIRIM";7;14;17;9;-;-;47
"350670 BOA ESPERANCA DO SUL";19;-;5;5;-;-;29
"350680 BOCAINA";10;-;-;-;2;-;12
"350690 BOFETE";-;8;9;3;-;-;20
"350700 BOITUVA";125;-;33;1;3;-;162
"350710 BOM JESUS DOS PERDOES";2;22;19;5;1;-;49
"350715 BOM SUCESSO DE ITARARE";-;-;4;2;1;-;7
"350730 BORACEIA";-;2;3;2;1;-;8
"350740 BORBOREMA";41;3;10;3;4;-;61
"350745 BOREBI";-;-;1;-;-;-;1
"350750 BOTUCATU";925;2;141;20;70;-;1158
"350760 BRAGANCA PAULISTA";933;6;124;30;25;1;1119
"350770 BRAUNA";-;-;1;1;1;-;3
"350775 BREJO ALEGRE";-;-;4;-;-;-;4
"350780 BRODOWSKI";1;22;21;2;3;-;49
"350790 BROTAS";49;-;15;7;3;-;74
"350800 BURI";1;25;22;2;2;-;52
"350810 BURITAMA";51;-;8;6;3;-;68
"350820 BURITIZAL";-;-;3;1;3;-;7
"350830 CABRALIA PAULISTA";-;-;2;1;-;-;3
"350840 CABREUVA";24;27;26;10;5;-;92
"350850 CACAPAVA";245;1;44;16;26;-;332
"350860 CACHOEIRA PAULISTA";41;-;28;8;6;-;83
"350870 CACONDE";47;-;14;1;1;-;63
"350880 CAFELANDIA";42;-;5;3;-;-;50
"350890 CAIABU";-;-;3;-;-;-;3
"350900 CAIEIRAS";73;126;27;14;3;-;243
"350910 CAIUA";-;-;-;2;-;-;2
"350920 CAJAMAR";140;15;32;14;13;-;214
"350925 CAJATI";38;-;10;4;-;-;52
"350930 CAJOBI";16;-;8;1;-;-;25
"350940 CAJURU";67;4;10;1;1;-;83
"350945 CAMPINA DO MONTE ALEGRE";-;1;2;-;1;-;4
"350950 CAMPINAS";4056;146;895;224;182;-;5503
"350960 CAMPO LIMPO PAULISTA";138;-;53;10;6;-;207
"350970 CAMPOS DO JORDAO";108;60;11;5;17;1;202
"350980 CAMPOS NOVOS PAULISTA";-;-;5;2;-;-;7
"350990 CANANEIA";8;1;7;4;1;-;21
"350995 CANAS";-;-;3;2;-;-;5
"351000 CANDIDO MOTA";68;-;7;2;-;-;77
"351010 CANDIDO RODRIGUES";-;-;4;-;-;-;4
