 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";19;14;16;15;16;15;20;15;25;34;14;20;223
"350020 ADOLFO";1;-;-;1;1;1;1;-;-;-;2;3;10
"350030 AGUAI";9;10;6;11;10;13;12;14;10;11;9;10;125
"350040 AGUAS DA PRATA";1;2;-;1;-;-;-;-;-;-;2;-;6
"350050 AGUAS DE LINDOIA";6;6;5;5;8;5;11;7;15;9;7;14;98
"350055 AGUAS DE SANTA BARBARA";2;1;1;1;2;-;-;1;-;1;1;-;10
"350060 AGUAS DE SAO PEDRO";1;-;-;2;1;1;1;-;2;-;-;1;9
"350070 AGUDOS";7;9;9;5;5;7;6;9;5;8;12;10;92
"350075 ALAMBARI";-;-;1;-;2;-;1;-;-;1;-;1;6
"350080 ALFREDO MARCONDES";1;-;-;-;-;-;-;-;-;2;-;-;3
"350090 ALTAIR";1;1;-;-;-;-;-;-;-;-;-;-;2
"350100 ALTINOPOLIS";6;3;4;3;5;5;7;3;6;3;1;6;52
"350110 ALTO ALEGRE";-;1;-;-;1;2;-;3;1;1;5;-;14
"350115 ALUMINIO";2;1;3;3;3;2;2;4;2;5;2;3;32
"350120 ALVARES FLORENCE";-;-;-;-;-;-;1;1;-;-;-;1;3
"350130 ALVARES MACHADO";2;3;1;3;3;3;2;3;5;2;5;4;36
"350140 ALVARO DE CARVALHO";-;-;-;-;-;2;2;-;-;3;-;1;8
"350150 ALVINLANDIA";-;1;-;-;-;1;-;-;-;-;-;1;3
"350160 AMERICANA";66;70;91;66;92;94;112;85;86;71;79;72;984
"350170 AMERICO BRASILIENSE";12;14;18;20;17;19;23;15;16;18;10;18;200
"350180 AMERICO DE CAMPOS";-;3;-;2;2;1;2;-;-;1;-;-;11
"350190 AMPARO";22;18;30;35;28;32;40;27;36;27;20;22;337
"350200 ANALANDIA";1;1;-;-;1;-;2;-;-;1;2;1;9
"350210 ANDRADINA";25;20;25;26;29;21;24;20;24;22;26;25;287
"350220 ANGATUBA";5;4;6;12;7;7;11;4;7;9;6;7;85
