ano,id_municipio_7digitos,pib
2010,3500105,639090507
2011,3500105,683689223
2012,3500105,743683942
2013,3500105,815579342
2014,3500105,862888665
2015,3500105,1059096842
2016,3500105,979975651
2017,3500105,1040823857
2018,3500105,1070909946
2019,3500105,1136221239
2010,3500204,61059145
2011,3500204,68413951
2012,3500204,53200271
2013,3500204,73529294
2014,3500204,76848185
2015,3500204,73708947
2016,3500204,91756109
2017,3500204,100915019
2018,3500204,92202519
2019,3500204,111368013
2010,3500303,549174956
2011,3500303,573701851
2012,3500303,568189968
2013,3500303,660869779
2014,3500303,770054578
2015,3500303,670060453
2016,3500303,895632177
2017,3500303,955577691
2018,3500303,972612902
2019,3500303,1025597007
2010,3500402,96964454
2011,3500402,89260069
2012,3500402,101169932
2013,3500402,111412615
2014,3500402,131446297
2015,3500402,137018298
2016,3500402,136635677
2017,3500402,154591514
2018,3500402,166763558
2019,3500402,170438241
2010,3500501,233684077
2011,3500501,267588596
2012,3500501,279456212
2013,3500501,351798914
2014,3500501,372727088
2015,3500501,470269517
2016,3500501,440355270
2017,3500501,475744685
2018,3500501,490463118
2019,3500501,530958092
2010,3500550,132254829
2011,3500550,139132346
2012,3500550,95592614
2013,3500550,114127096
2014,3500550,126868657
2015,3500550,121031093
2016,3500550,152567112
2017,3500550,150486005
2018,3500550,166832255
2019,3500550,174713165
2010,3500600,69351568
2011,3500600,71429274
2012,3500600,81883233
2013,3500600,96809193
2014,3500600,119775729
2015,3500600,125313321
2016,3500600,120017118
2017,3500600,132808602
2018,3500600,135910558
2019,3500600,145906733
2010,3500709,1736270583
2011,3500709,1742627417
2012,3500709,1928539288
2013,3500709,1900411593
2014,3500709,2106853319
2015,3500709,2645423275
2016,3500709,1932768891
2017,3500709,2047051281
2018,3500709,2202017134
2019,3500709,2294250765
2010,3500758,61602598
2011,3500758,61384825
2012,3500758,60504841
2013,3500758,70362959
2014,3500758,71305009
2015,3500758,84652895
2016,3500758,92038570
2017,3500758,102849798
2018,3500758,98483006
2019,3500758,103301929
2010,3500808,36694112
2011,3500808,38980278
2012,3500808,53292705
2013,3500808,65727476
2014,3500808,73663561
2015,3500808,71689304
2016,3500808,77925842
2017,3500808,80859611
2018,3500808,83078468
2019,3500808,86908468
2010,3500907,74901588
2011,3500907,86738777
