 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Ano do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2010-2020
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"350010 ADAMANTINA";237;263;223;226;248;263;277;317;286;322;318;2980
"350020 ADOLFO";9;9;10;8;6;10;9;9;13;8;7;98
"350030 AGUAI";135;132;125;71;44;32;35;31;47;68;69;789
"350040 AGUAS DA PRATA";12;14;6;4;8;8;15;12;21;15;21;136
"350050 AGUAS DE LINDOIA";135;107;98;141;98;115;118;149;131;105;95;1292
"350055 AGUAS DE SANTA BARBARA";10;13;10;5;3;6;5;4;10;17;14;97
"350060 AGUAS DE SAO PEDRO";12;6;9;14;7;9;5;11;7;18;13;111
"350070 AGUDOS";101;81;92;86;66;80;108;95;98;97;93;997
"350075 ALAMBARI";8;13;6;9;7;3;7;2;5;12;4;76
"350080 ALFREDO MARCONDES";3;4;3;3;3;3;2;5;6;7;5;44
"350090 ALTAIR";9;6;2;13;13;6;10;9;8;6;4;86
"350100 ALTINOPOLIS";44;41;52;48;54;56;62;63;53;60;44;577
"350110 ALTO ALEGRE";11;12;14;7;5;9;5;8;9;11;5;96
"350115 ALUMINIO";31;22;32;24;36;28;46;32;24;37;39;351
"350120 ALVARES FLORENCE";10;8;3;5;6;7;5;3;7;7;6;67
"350130 ALVARES MACHADO";23;36;36;28;41;39;48;41;47;48;69;456
"350140 ALVARO DE CARVALHO";5;7;8;5;4;9;1;1;4;5;4;53
"350150 ALVINLANDIA";1;3;3;4;1;3;5;2;8;2;4;36
"350160 AMERICANA";958;995;984;903;967;829;858;865;888;841;1145;10233
"350170 AMERICO BRASILIENSE";220;207;200;237;202;223;210;212;184;202;217;2314
"350180 AMERICO DE CAMPOS";8;15;11;10;10;20;8;14;12;16;14;138
"350190 AMPARO";333;326;337;374;323;386;457;435;424;414;438;4247
"350200 ANALANDIA";6;5;9;12;4;8;8;11;9;5;10;87
"350210 ANDRADINA";318;322;287;339;395;387;418;381;405;409;442;4103
"350220 ANGATUBA";102;102;85;77;97;88;86;68;88;66;85;944
"350230 ANHEMBI";13;16;14;21;13;16;18;11;14;17;13;166
"350240 ANHUMAS";3;2;1;6;3;5;2;-;4;1;6;33
"350250 APARECIDA";175;223;214;211;207;250;236;210;219;267;245;2457
"350260 APARECIDA D'OESTE";22;14;21;16;18;13;15;16;10;21;16;182
"350270 APIAI";91;116;122;142;117;141;164;171;156;141;161;1522
"350275 ARACARIGUAMA";39;36;43;47;42;48;65;52;56;34;51;513
"350280 ARACATUBA";1169;1118;1054;1103;1218;1291;1267;1164;1257;1257;1694;13592
"350290 ARACOIABA DA SERRA";62;79;57;49;35;43;56;61;67;49;53;611
"350300 ARAMINA";8;6;7;7;11;6;9;9;10;8;10;91
"350310 ARANDU";27;12;9;23;12;13;16;13;18;14;13;170
"350315 ARAPEI";6;11;6;7;8;6;8;6;5;9;5;77
"350320 ARARAQUARA";1214;1232;1237;1213;1215;1258;1279;1209;1207;1354;1413;13831
"350330 ARARAS";536;563;545;549;531;561;534;565;529;548;633;6094
"350335 ARCO-IRIS";3;-;3;2;2;2;1;2;1;1;2;19
"350340 AREALVA";41;50;30;35;30;24;28;20;21;36;34;349
"350350 AREIAS";7;8;12;14;20;10;13;18;19;16;12;149
"350360 AREIOPOLIS";16;20;16;16;13;13;19;13;14;20;22;182
"350370 ARIRANHA";21;20;14;10;12;25;19;17;15;21;16;190
"350380 ARTUR NOGUEIRA";55;45;55;71;74;107;110;111;113;125;162;1028
"350390 ARUJA";226;250;257;227;252;252;252;241;265;252;380;2854
"350395 ASPASIA";-;2;1;2;6;4;4;3;2;3;2;29
"350400 ASSIS";548;551;533;615;633;608;611;592;646;640;760;6737
"350410 ATIBAIA";635;691;662;614;681;671;668;705;684;705;703;7419
"350420 AURIFLAMA";45;72;66;65;67;52;62;70;62;61;76;698
"350430 AVAI";9;14;6;10;4;8;6;5;10;13;13;98
"350440 AVANHANDAVA";11;14;6;13;7;8;8;8;9;10;9;103
"350450 AVARE";427;393;422;398;381;371;421;388;450;554;537;4742
"350460 BADY BASSITT";16;18;21;25;17;26;25;22;36;33;33;272
"350470 BALBINOS";6;3;4;2;-;1;7;6;-;3;7;39
"350480 BALSAMO";18;13;20;17;12;14;14;24;10;19;14;175
"350490 BANANAL";35;22;22;22;27;27;23;25;34;12;14;263
"350500 BARAO DE ANTONINA";2;2;4;2;3;2;5;2;3;7;1;33
"350510 BARBOSA";7;8;8;4;9;9;7;4;7;12;9;84
"350520 BARIRI";137;145;151;153;190;191;183;170;111;139;179;1749
"350530 BARRA BONITA";193;194;215;201;229;168;175;183;170;160;195;2083
"350535 BARRA DO CHAPEU";12;8;6;1;11;15;12;9;4;6;17;101
"350540 BARRA DO TURVO";34;38;49;38;25;21;29;28;21;21;33;337
"350550 BARRETOS";792;802;909;986;989;1084;1142;1047;938;1141;1355;11185
"350560 BARRINHA";31;33;38;54;35;44;47;35;57;54;76;504
"350570 BARUERI";1013;1061;1125;1140;1189;1243;1303;1286;1439;1423;1918;14140
"350580 BASTOS";38;37;61;37;49;36;56;44;55;59;56;528
"350590 BATATAIS";283;247;260;261;296;259;284;306;292;296;356;3140
"350600 BAURU";2145;2248;2191;2231;2313;2289;2270;2232;2369;2358;2588;25234
"350610 BEBEDOURO";421;387;425;427;424;444;491;449;421;344;404;4637
"350620 BENTO DE ABREU";1;-;3;-;-;6;-;2;2;1;4;19
"350630 BERNARDINO DE CAMPOS";43;64;53;75;59;52;58;56;55;57;55;627
"350635 BERTIOGA";182;214;197;202;205;208;217;259;247;252;313;2496
"350640 BILAC";27;25;28;27;32;32;25;14;14;25;21;270
"350650 BIRIGUI";327;318;362;336;361;362;416;451;460;455;553;4401
"350660 BIRITIBA-MIRIM";31;34;42;40;53;47;43;35;36;35;53;449
"350670 BOA ESPERANCA DO SUL";39;37;40;47;31;29;31;48;30;50;33;415
"350680 BOCAINA";34;34;24;30;25;12;18;9;16;20;12;234
"350690 BOFETE";15;16;28;25;24;20;33;25;29;18;25;258
"350700 BOITUVA";106;166;166;136;155;162;179;183;163;161;168;1745
"350710 BOM JESUS DOS PERDOES";52;64;49;57;49;49;54;40;39;55;48;556
"350715 BOM SUCESSO DE ITARARE";8;4;14;2;6;7;4;5;4;4;4;62
"350720 BORA";1;-;1;-;-;-;1;2;1;1;2;9
