 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2010-2020
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";2799;5;108;25;42;1;2980
"350020 ADOLFO";3;26;48;5;13;3;98
"350030 AGUAI";267;186;198;88;49;1;789
"350040 AGUAS DA PRATA";1;15;65;31;24;-;136
"350050 AGUAS DE LINDOIA";972;-;222;48;49;1;1292
"350055 AGUAS DE SANTA BARBARA";4;20;39;21;12;1;97
"350060 AGUAS DE SAO PEDRO";14;47;41;3;6;-;111
"350070 AGUDOS";526;190;186;70;25;-;997
"350075 ALAMBARI";1;-;40;29;6;-;76
"350080 ALFREDO MARCONDES";-;-;27;11;6;-;44
"350090 ALTAIR";3;21;35;10;17;-;86
"350100 ALTINOPOLIS";406;-;99;39;31;2;577
"350110 ALTO ALEGRE";59;-;19;13;5;-;96
"350115 ALUMINIO";17;193;93;27;21;-;351
"350120 ALVARES FLORENCE";-;4;39;20;4;-;67
"350130 ALVARES MACHADO";195;1;186;52;22;-;456
"350140 ALVARO DE CARVALHO";-;2;41;7;3;-;53
"350150 ALVINLANDIA";-;1;27;6;2;-;36
"350160 AMERICANA";8799;66;965;249;152;2;10233
"350170 AMERICO BRASILIENSE";2019;3;197;54;41;-;2314
"350180 AMERICO DE CAMPOS";1;17;91;20;9;-;138
"350190 AMPARO";3437;41;536;143;90;-;4247
"350200 ANALANDIA";2;40;27;10;8;-;87
"350210 ANDRADINA";3131;318;478;130;46;-;4103
"350220 ANGATUBA";766;2;84;70;22;-;944
"350230 ANHEMBI";2;27;80;31;26;-;166
"350240 ANHUMAS";-;2;21;5;5;-;33
"350250 APARECIDA";1584;399;210;127;135;2;2457
"350260 APARECIDA D'OESTE";108;-;66;4;4;-;182
"350270 APIAI";1185;1;266;29;40;1;1522
"350275 ARACARIGUAMA";24;224;93;133;38;1;513
"350280 ARACATUBA";12023;174;907;323;165;-;13592
"350290 ARACOIABA DA SERRA";16;262;209;76;47;1;611
"350300 ARAMINA";-;2;63;24;2;-;91
"350310 ARANDU";117;-;36;9;8;-;170
"350315 ARAPEI";11;17;39;7;3;-;77
"350320 ARARAQUARA";9868;577;2392;445;546;3;13831
"350330 ARARAS";5196;20;528;223;127;-;6094
"350335 ARCO-IRIS";-;-;14;3;2;-;19
"350340 AREALVA";210;-;91;33;13;2;349
"350350 AREIAS";27;9;80;6;23;4;149
"350360 AREIOPOLIS";24;56;73;10;19;-;182
"350370 ARIRANHA";79;4;76;16;15;-;190
"350380 ARTUR NOGUEIRA";634;29;237;87;40;1;1028
"350390 ARUJA";1625;332;571;182;143;1;2854
"350395 ASPASIA";-;-;20;8;1;-;29
"350400 ASSIS";5948;56;465;190;77;1;6737
"350410 ATIBAIA";4986;40;1587;426;378;2;7419
"350420 AURIFLAMA";501;19;134;21;23;-;698
"350430 AVAI";-;1;64;21;12;-;98
"350440 AVANHANDAVA";10;20;36;25;8;4;103
"350450 AVARE";3028;1159;311;146;96;2;4742
"350460 BADY BASSITT";3;95;121;37;16;-;272
"350470 BALBINOS";-;1;16;2;20;-;39
"350480 BALSAMO";1;72;85;14;3;-;175
"350490 BANANAL";54;108;87;7;7;-;263
"350500 BARAO DE ANTONINA";-;2;19;8;3;1;33
"350510 BARBOSA";2;21;40;14;7;-;84
"350520 BARIRI";1438;2;234;32;41;2;1749
"350530 BARRA BONITA";1790;-;216;31;46;-;2083
"350535 BARRA DO CHAPEU";-;3;81;6;11;-;101
"350540 BARRA DO TURVO";21;44;80;148;39;5;337
"350550 BARRETOS";9516;99;1234;177;148;11;11185
"350560 BARRINHA";9;282;146;34;33;-;504
"350570 BARUERI";7928;4678;1001;359;174;-;14140
"350580 BASTOS";238;129;116;25;18;2;528
"350590 BATATAIS";2261;192;454;125;108;-;3140
"350600 BAURU";17388;2891;3679;652;603;21;25234
"350610 BEBEDOURO";3799;27;583;156;70;2;4637
"350620 BENTO DE ABREU";-;-;10;6;3;-;19
"350630 BERNARDINO DE CAMPOS";477;1;100;27;22;-;627
"350635 BERTIOGA";1337;19;335;235;569;1;2496
"350640 BILAC";198;-;49;7;16;-;270
"350650 BIRIGUI";3302;547;332;169;51;-;4401
"350660 BIRITIBA-MIRIM";82;128;141;69;27;2;449
"350670 BOA ESPERANCA DO SUL";286;-;72;35;21;1;415
"350680 BOCAINA";125;-;61;33;15;-;234
"350690 BOFETE";11;92;103;34;17;1;258
"350700 BOITUVA";1258;-;322;103;61;1;1745
"350710 BOM JESUS DOS PERDOES";24;228;205;64;30;5;556
"350715 BOM SUCESSO DE ITARARE";-;3;39;9;11;-;62
"350720 BORA";-;1;2;2;4;-;9
"350730 BORACEIA";-;6;32;7;7;-;52
"350740 BORBOREMA";319;122;121;45;25;-;632
"350745 BOREBI";-;-;10;2;3;-;15
"350750 BOTUCATU";10093;16;1487;214;571;1;12382
"350760 BRAGANCA PAULISTA";10478;40;1869;308;310;3;13008
"350770 BRAUNA";1;3;26;19;2;7;58
"350775 BREJO ALEGRE";-;1;23;18;7;-;49
"350780 BRODOWSKI";19;173;212;36;24;-;464
"350790 BROTAS";550;-;122;46;54;-;772
"350800 BURI";11;197;240;49;37;-;534
"350810 BURITAMA";487;-;186;48;33;-;754
"350820 BURITIZAL";-;3;36;11;9;-;59
"350830 CABRALIA PAULISTA";-;1;23;14;-;-;38
"350840 CABREUVA";376;271;265;100;86;-;1098
"350850 CACAPAVA";2303;8;326;232;153;38;3060
"350860 CACHOEIRA PAULISTA";605;4;200;78;59;1;947
"350870 CACONDE";448;1;179;21;35;-;684
"350880 CAFELANDIA";478;1;72;57;13;1;622
"350890 CAIABU";1;-;36;5;2;-;44
"350900 CAIEIRAS";923;1319;376;188;67;-;2873
"350910 CAIUA";-;-;30;9;10;-;49
"350920 CAJAMAR";1517;211;359;196;86;-;2369
"350925 CAJATI";292;3;230;153;32;2;712
"350930 CAJOBI";141;1;97;12;5;2;258
"350940 CAJURU";783;17;131;55;25;-;1011
"350945 CAMPINA DO MONTE ALEGRE";1;9;59;10;11;-;90
"350950 CAMPINAS";46078;2159;9901;2448;2254;9;62849
"350960 CAMPO LIMPO PAULISTA";1740;1;589;119;101;3;2553
"350970 CAMPOS DO JORDAO";1529;590;282;95;191;4;2691
"350980 CAMPOS NOVOS PAULISTA";-;3;75;13;4;-;95
"350990 CANANEIA";88;8;107;26;22;8;259
"350995 CANAS";-;-;15;35;4;-;54
"351000 CANDIDO MOTA";911;3;162;53;24;-;1153
"351010 CANDIDO RODRIGUES";-;6;30;3;6;-;45
"351015 CANITAR";-;1;33;13;5;-;52
"351020 CAPAO BONITO";1943;4;566;169;43;-;2725
"351030 CAPELA DO ALTO";19;222;129;50;18;-;438
"351040 CAPIVARI";2235;1;324;95;43;1;2699
"351050 CARAGUATATUBA";3427;590;440;384;184;4;5029
"351060 CARAPICUIBA";5937;2604;2265;441;182;1;11430
"351070 CARDOSO";138;26;75;38;29;-;306
"351080 CASA BRANCA";1009;294;239;74;79;1;1696
"351090 CASSIA DOS COQUEIROS";10;16;25;6;10;-;67
"351100 CASTILHO";299;6;188;46;39;-;578
"351110 CATANDUVA";11711;113;505;238;87;2;12656
"351120 CATIGUA";-;10;73;21;10;-;114
"351130 CEDRAL";7;83;75;37;10;-;212
"351140 CERQUEIRA CESAR";691;1;77;43;38;2;852
"351150 CERQUILHO";922;2;234;44;18;-;1220
"351160 CESARIO LANGE";462;-;149;31;7;-;649
"351170 CHARQUEADA";246;-;109;48;23;-;426
"351190 CLEMENTINA";98;-;47;22;6;-;173
"351200 COLINA";156;60;172;34;26;-;448
"351210 COLOMBIA";43;1;43;37;22;4;150
"351220 CONCHAL";567;7;114;29;37;5;759
"351230 CONCHAS";571;1;177;38;19;1;807
"351240 CORDEIROPOLIS";199;1;152;59;12;-;423
"351250 COROADOS";-;6;30;24;3;-;63
"351260 CORONEL MACEDO";-;4;24;22;9;-;59
"351270 CORUMBATAI";-;12;26;11;5;-;54
"351280 COSMOPOLIS";1127;119;317;115;85;1;1764
"351290 COSMORAMA";-;44;85;48;11;2;190
"351300 COTIA";7120;1599;1499;296;239;7;10760
"351310 CRAVINHOS";273;180;180;51;39;3;726
"351320 CRISTAIS PAULISTA";1;17;58;33;18;2;129
"351330 CRUZALIA";1;6;21;7;7;-;42
"351340 CRUZEIRO";3725;139;332;154;46;4;4400
"351350 CUBATAO";1905;1511;803;361;165;1;4746
"351360 CUNHA";578;-;240;86;41;-;945
"351370 DESCALVADO";768;182;393;74;42;1;1460
"351380 DIADEMA";8953;2178;2453;719;248;4;14555
"351385 DIRCE REIS";-;-;19;3;2;-;24
"351390 DIVINOLANDIA";640;-;79;25;13;-;757
"351400 DOBRADA";-;-;37;15;6;1;59
"351410 DOIS CORREGOS";854;3;107;70;64;1;1099
"351420 DOLCINOPOLIS";-;-;27;3;-;1;31
"351430 DOURADO";110;50;104;17;18;-;299
"351440 DRACENA";3075;340;256;72;78;2;3823
"351450 DUARTINA";638;1;75;19;10;-;743
"351460 DUMONT";-;37;49;26;9;-;121
