 Mortalidade - S?o Paulo
?bitos p/Ocorr?nc por Munic?pio e M?s do ?bito
Cap?tulo CID-10: I.   Algumas doen?as infecciosas e parasit?rias, III. Doen?as sangue ?rg?os hemat e transt imunit?r, IV.  Doen?as end?crinas nutricionais e metab?licas, IX.  Doen?as do aparelho circulat?rio, X.   Doen?as do aparelho respirat?rio, XI.  Doen?as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per?odo:2019
"Municipio";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";33;32;21;29;34;24;27;38;21;24;22;17;322
"350020 ADOLFO";1;-;1;2;-;-;-;1;-;-;2;1;8
"350030 AGUAI";4;-;2;3;8;6;11;6;6;8;7;7;68
"350040 AGUAS DA PRATA";1;-;2;4;2;4;-;1;-;-;1;-;15
"350050 AGUAS DE LINDOIA";8;2;8;9;10;10;13;11;8;6;4;16;105
"350055 AGUAS DE SANTA BARBARA";3;-;-;1;-;3;1;-;2;3;2;2;17
"350060 AGUAS DE SAO PEDRO";-;1;2;-;1;2;2;1;4;2;1;2;18
"350070 AGUDOS";10;8;3;9;7;9;11;6;12;9;8;5;97
"350075 ALAMBARI";1;2;2;-;-;1;1;1;1;1;-;2;12
"350080 ALFREDO MARCONDES";1;-;-;-;-;-;3;1;2;-;-;-;7
"350090 ALTAIR";1;-;-;1;1;-;1;-;1;-;-;1;6
"350100 ALTINOPOLIS";6;7;2;5;6;3;1;5;4;6;8;7;60
"350110 ALTO ALEGRE";-;1;1;2;2;1;1;2;1;-;-;-;11
"350115 ALUMINIO";4;5;5;6;3;-;4;1;5;1;-;3;37
"350120 ALVARES FLORENCE";1;-;-;-;-;1;1;-;1;1;-;2;7
"350130 ALVARES MACHADO";5;4;7;2;2;7;4;3;1;4;3;6;48
"350140 ALVARO DE CARVALHO";-;-;-;1;1;1;-;-;-;-;1;1;5
"350150 ALVINLANDIA";2;-;-;-;-;-;-;-;-;-;-;-;2
"350160 AMERICANA";64;53;73;67;88;90;82;74;81;52;44;73;841
"350170 AMERICO BRASILIENSE";16;13;17;18;19;22;19;26;9;15;13;15;202
"350180 AMERICO DE CAMPOS";2;2;-;1;1;-;2;3;2;2;-;1;16
"350190 AMPARO";30;28;37;36;25;47;50;39;36;37;23;26;414
"350200 ANALANDIA";1;-;1;-;1;-;-;1;-;-;-;1;5
"350210 ANDRADINA";46;29;37;33;48;27;39;41;29;26;30;24;409
"350220 ANGATUBA";5;6;3;3;3;6;10;8;7;6;4;5;66
"350230 ANHEMBI";4;1;-;1;1;3;1;-;-;3;2;1;17
"350240 ANHUMAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"350250 APARECIDA";17;12;21;24;16;25;30;24;28;32;17;21;267
"350260 APARECIDA D'OESTE";2;3;-;1;1;2;4;2;1;1;2;2;21
"350270 APIAI";9;7;15;8;16;14;13;14;15;7;8;15;141
"350275 ARACARIGUAMA";2;2;1;3;2;3;3;3;1;3;5;6;34
"350280 ARACATUBA";125;80;116;97;113;107;126;99;85;98;107;104;1257
"350290 ARACOIABA DA SERRA";7;6;1;4;3;3;6;4;5;5;3;2;49
"350300 ARAMINA";-;-;-;1;1;1;2;-;1;-;1;1;8
"350310 ARANDU";1;-;1;2;1;1;1;2;-;-;3;2;14
"350315 ARAPEI";-;-;3;-;1;-;-;-;3;-;1;1;9
"350320 ARARAQUARA";102;90;119;125;109;118;141;117;112;117;102;102;1354
"350330 ARARAS";41;42;53;38;51;43;58;54;39;49;37;43;548
"350335 ARCO-IRIS";-;-;-;-;-;-;-;-;-;-;-;1;1
"350340 AREALVA";4;1;5;4;1;2;2;4;1;5;2;5;36
"350350 AREIAS";-;3;2;1;1;1;2;4;-;1;-;1;16
"350360 AREIOPOLIS";3;-;5;1;2;3;2;1;2;-;-;1;20
"350370 ARIRANHA";2;2;2;-;2;1;1;4;4;1;1;1;21
"350380 ARTUR NOGUEIRA";4;6;12;13;5;10;14;12;9;13;15;12;125
"350390 ARUJA";25;12;19;16;17;32;27;26;19;18;23;18;252
"350395 ASPASIA";-;-;-;1;-;-;1;1;-;-;-;-;3
"350400 ASSIS";51;43;52;34;60;52;66;61;63;52;47;59;640
"350410 ATIBAIA";65;44;56;49;55;78;92;54;56;58;38;60;705
"350420 AURIFLAMA";6;3;6;3;6;6;7;5;6;4;2;7;61
"350430 AVAI";2;-;1;1;1;-;1;1;1;2;1;2;13
"350440 AVANHANDAVA";-;2;2;-;1;-;-;2;-;1;2;-;10
"350450 AVARE";55;33;38;39;37;61;63;41;52;53;44;38;554
"350460 BADY BASSITT";3;2;1;7;2;1;2;3;2;1;6;3;33
"350470 BALBINOS";-;1;-;-;-;-;-;2;-;-;-;-;3
"350480 BALSAMO";-;2;1;2;3;2;-;3;-;1;2;3;19
"350490 BANANAL";-;1;-;2;2;-;1;2;-;2;2;-;12
"350500 BARAO DE ANTONINA";-;-;3;-;-;-;1;1;-;-;2;-;7
"350510 BARBOSA";2;2;2;-;1;1;-;-;1;1;2;-;12
"350520 BARIRI";13;8;9;12;17;6;11;13;12;14;10;14;139
"350530 BARRA BONITA";20;12;18;11;8;17;18;13;12;12;7;12;160
"350535 BARRA DO CHAPEU";-;-;-;-;1;3;-;-;-;2;-;-;6
"350540 BARRA DO TURVO";1;1;2;-;1;1;2;6;1;2;1;3;21
"350550 BARRETOS";100;65;97;95;90;111;96;106;97;96;90;98;1141
