ano,id_municipio,sigla_uf,cargo,sigla_partido
2020,3500550,SP,prefeito,REPUBLICANOS
2020,3501103,SP,prefeito,MDB
2020,3506805,SP,prefeito,DEM
2020,3509601,SP,prefeito,PSDB
2020,3516804,SP,prefeito,DEM
2020,3526704,SP,prefeito,DEM
2020,3527801,SP,prefeito,PSB
2020,3531001,SP,prefeito,MDB
2020,3531704,SP,prefeito,PSD
2020,3537206,SP,prefeito,DEM
2020,3538600,SP,prefeito,PSD
2020,3538907,SP,prefeito,PSDB
2020,3544202,SP,prefeito,PSDB
2020,3547106,SP,prefeito,PSDB
2020,3547809,SP,prefeito,PSDB
2020,3548203,SP,prefeito,PSDB
2020,3548807,SP,prefeito,PSD
2020,3551900,SP,prefeito,PSDB
2020,3553807,SP,prefeito,PP
2020,3553955,SP,prefeito,PSDB
2020,3554201,SP,prefeito,PSDB
2020,3555307,SP,prefeito,MDB
2020,3556453,SP,prefeito,PL
2020,3557303,SP,prefeito,MDB
2020,3529401,SP,prefeito,PT
2020,3538709,SP,prefeito,DEM
2008,3503703,SP,prefeito,PTB
2008,3504107,SP,prefeito,PV
2008,3509601,SP,prefeito,PSDB
2008,3513009,SP,prefeito,PSDB
2008,3514205,SP,prefeito,PSDB
2008,3517505,SP,prefeito,PSDB
2008,3525854,SP,prefeito,PSDB
2008,3526001,SP,prefeito,PSDB
2008,3526209,SP,prefeito,PDT
2008,3530508,SP,prefeito,PSDB
2008,3532900,SP,prefeito,PT
2008,3535507,SP,prefeito,PSDB
2008,3539707,SP,prefeito,PR
2008,3541901,SP,prefeito,PSDB
2008,3544103,SP,prefeito,PSDB
2008,3544806,SP,prefeito,DEM
2008,3545001,SP,prefeito,PSDB
2008,3547601,SP,prefeito,PDT
2008,3547809,SP,prefeito,PT
2008,3548609,SP,prefeito,PSDB
2008,3551009,SP,prefeito,PSB
2008,3551603,SP,prefeito,DEM
2008,3554003,SP,prefeito,PSDB
2008,3554953,SP,prefeito,PTB
2008,3555505,SP,prefeito,DEM
2012,3500303,SP,prefeito,PMDB
2012,3503356,SP,prefeito,PTB
2012,3504800,SP,prefeito,PPS
2012,3510005,SP,prefeito,PMDB
2012,3511904,SP,prefeito,DEM
2012,3514502,SP,prefeito,PSDB
2012,3521101,SP,prefeito,PP
2012,3522901,SP,prefeito,PSDB
2012,3524808,SP,prefeito,PTB
2012,3526605,SP,prefeito,PSDB
2012,3526803,SP,prefeito,PSDB
2012,3526902,SP,prefeito,PSB
2012,3529708,SP,prefeito,PV
2012,3532827,SP,prefeito,PSDB
2012,3533304,SP,prefeito,PSDB
2012,3535200,SP,prefeito,PSDB
2012,3535804,SP,prefeito,PV
2012,3537305,SP,prefeito,PSD
2012,3538006,SP,prefeito,PSDB
2012,3541000,SP,prefeito,PSDB
2012,3541901,SP,prefeito,PMDB
2012,3544202,SP,prefeito,PSB
2012,3544806,SP,prefeito,PT
2012,3548807,SP,prefeito,PMDB
2012,3550407,SP,prefeito,PPS
2016,3502408,SP,prefeito,PSD
2016,3502754,SP,prefeito,PV
2016,3504206,SP,prefeito,PSDB
2016,3510906,SP,prefeito,MDB
2016,3515202,SP,prefeito,PHS
2016,3515608,SP,prefeito,MDB
2016,3516101,SP,prefeito,PSDB
2016,3516804,SP,prefeito,PSB
2016,3518305,SP,prefeito,PL
2016,3523305,SP,prefeito,PSDB
2016,3532801,SP,prefeito,DEM
2016,3534757,SP,prefeito,PSB
2016,3535705,SP,prefeito,MDB
2016,3537156,SP,prefeito,DEM
2016,3538709,SP,prefeito,PSDB
2016,3545100,SP,prefeito,PV
2016,3546702,SP,prefeito,PTB
2016,3547908,SP,prefeito,MDB
2016,3548906,SP,prefeito,PSB
2016,3554003,SP,prefeito,PSDB
2016,3555109,SP,prefeito,DEM
2016,3555406,SP,prefeito,PSD
2016,3555901,SP,prefeito,PSDB
2020,3503406,SP,prefeito,PSDB
2020,3503950,SP,prefeito,PSDB
2020,3504206,SP,prefeito,MDB
2020,3505104,SP,prefeito,PSD
2020,3505351,SP,prefeito,DEM
2020,3509957,SP,prefeito,PDT
2020,3510807,SP,prefeito,REPUBLICANOS
2020,3511003,SP,prefeito,REPUBLICANOS
2020,3515129,SP,prefeito,PTB
2020,3515194,SP,prefeito,MDB
2020,3517505,SP,prefeito,DEM
2020,3519501,SP,prefeito,PSD
2020,3520905,SP,prefeito,PSDB
2020,3521903,SP,prefeito,PSC
2020,3522802,SP,prefeito,REPUBLICANOS
2020,3523909,SP,prefeito,PL
2020,3528700,SP,prefeito,PSOL
2020,3529302,SP,prefeito,PT
2020,3530706,SP,prefeito,CIDADANIA
2020,3535309,SP,prefeito,PSDB
2020,3536604,SP,prefeito,PTB
2020,3538204,SP,prefeito,DEM
2020,3539608,SP,prefeito,DEM
2020,3539806,SP,prefeito,PSDB
2020,3542305,SP,prefeito,PL
2020,3543600,SP,prefeito,CIDADANIA
2020,3544301,SP,prefeito,PL
2020,3547403,SP,prefeito,REPUBLICANOS
2020,3549250,SP,prefeito,MDB
2020,3550209,SP,prefeito,PP
2008,3501152,SP,prefeito,PMDB
2008,3501905,SP,prefeito,PT
2008,3507001,SP,prefeito,DEM
2008,3510708,SP,prefeito,DEM
2008,3515400,SP,prefeito,PMDB
2008,3522406,SP,prefeito,PSDB
2008,3528858,SP,prefeito,PSDB
2008,3532603,SP,prefeito,PSB
2008,3534104,SP,prefeito,PSDB
2008,3535002,SP,prefeito,PTB
