ano,sigla_uf,id_municipio,populacao
2010,SP,3500105,33797
2011,SP,3500105,33821
2012,SP,3500105,33843
2013,SP,3500105,34953
2014,SP,3500105,35001
2015,SP,3500105,35048
2016,SP,3500105,35094
2017,SP,3500105,35139
2018,SP,3500105,35023
2019,SP,3500105,35068
2020,SP,3500105,35111
2010,SP,3500204,3557
2011,SP,3500204,3548
2012,SP,3500204,3538
2013,SP,3500204,3639
2014,SP,3500204,3631
2015,SP,3500204,3623
2016,SP,3500204,3616
2017,SP,3500204,3609
2018,SP,3500204,3571
2019,SP,3500204,3562
2020,SP,3500204,3554
2010,SP,3500303,32148
2011,SP,3500303,32452
2012,SP,3500303,32745
2013,SP,3500303,34188
2014,SP,3500303,34530
2015,SP,3500303,34863
2016,SP,3500303,35189
2017,SP,3500303,35508
2018,SP,3500303,35954
2019,SP,3500303,36305
2020,SP,3500303,36648
2010,SP,3500402,7584
2011,SP,3500402,7619
2012,SP,3500402,7653
2013,SP,3500402,7942
2014,SP,3500402,7984
2015,SP,3500402,8025
2016,SP,3500402,8065
2017,SP,3500402,8104
2018,SP,3500402,8137
2019,SP,3500402,8180
2020,SP,3500402,8221
2010,SP,3500501,17266
2011,SP,3500501,17354
2012,SP,3500501,17438
2013,SP,3500501,18108
2014,SP,3500501,18212
2015,SP,3500501,18313
2016,SP,3500501,18412
2017,SP,3500501,18509
2018,SP,3500501,18599
2019,SP,3500501,18705
2020,SP,3500501,18808
2010,SP,3500550,5601
2011,SP,3500550,5630
2012,SP,3500550,5658
2013,SP,3500550,5876
2014,SP,3500550,5911
2015,SP,3500550,5944
2016,SP,3500550,5977
2017,SP,3500550,6009
2018,SP,3500550,6040
2019,SP,3500550,6075
2020,SP,3500550,6109
2010,SP,3500600,2707
2011,SP,3500600,2771
2012,SP,3500600,2832
2013,SP,3500600,3004
2014,SP,3500600,3073
2015,SP,3500600,3139
2016,SP,3500600,3205
2017,SP,3500600,3268
2018,SP,3500600,3380
2019,SP,3500600,3451
2020,SP,3500600,3521
2010,SP,3500709,34524
2011,SP,3500709,34681
2012,SP,3500709,34833
2013,SP,3500709,36150
2014,SP,3500709,36339
2015,SP,3500709,36524
2016,SP,3500709,36704
2017,SP,3500709,36880
2018,SP,3500709,37023
2019,SP,3500709,37214
2020,SP,3500709,37401
2010,SP,3500758,4884
2011,SP,3500758,4979
2012,SP,3500758,5071
2013,SP,3500758,5356
2014,SP,3500758,5460
2015,SP,3500758,5560
2016,SP,3500758,5658
2017,SP,3500758,5754
2018,SP,3500758,5918
2019,SP,3500758,6025
2020,SP,3500758,6129
2010,SP,3500808,3891
2011,SP,3500808,3906
2012,SP,3500808,3921
2013,SP,3500808,4064
2014,SP,3500808,4083
2015,SP,3500808,4101
2016,SP,3500808,4118
2017,SP,3500808,4135
2018,SP,3500808,4147
2019,SP,3500808,4166
2020,SP,3500808,4184
2010,SP,3500907,3815
2011,SP,3500907,3837
2012,SP,3500907,3859
2013,SP,3500907,4010
2014,SP,3500907,4035
2015,SP,3500907,4060
2016,SP,3500907,4085
2017,SP,3500907,4109
2018,SP,3500907,4134
2019,SP,3500907,4160
2020,SP,3500907,4186
2010,SP,3501004,15607
2011,SP,3501004,15617
2012,SP,3501004,15627
2013,SP,3501004,16137
2014,SP,3501004,16159
2015,SP,3501004,16179
2016,SP,3501004,16199
2017,SP,3501004,16219
2018,SP,3501004,16164
2019,SP,3501004,16184
2020,SP,3501004,16203
2010,SP,3501103,4102
2011,SP,3501103,4090
2012,SP,3501103,4078
2013,SP,3501103,4193
2014,SP,3501103,4183
2015,SP,3501103,4173
2016,SP,3501103,4164
2017,SP,3501103,4154
2018,SP,3501103,4110
2019,SP,3501103,4099
2020,SP,3501103,4088
2010,SP,3501152,16839
2011,SP,3501152,16961
2012,SP,3501152,17079
2013,SP,3501152,17784
2014,SP,3501152,17924
2015,SP,3501152,18061
2016,SP,3501152,18194
2017,SP,3501152,18324
2018,SP,3501152,18484
2019,SP,3501152,18628
2020,SP,3501152,18767
2010,SP,3501202,3897
2011,SP,3501202,3865
2012,SP,3501202,3834
2013,SP,3501202,3915
2014,SP,3501202,3883
2015,SP,3501202,3853
2016,SP,3501202,3824
2017,SP,3501202,3795
2018,SP,3501202,3712
2019,SP,3501202,3679
2020,SP,3501202,3647
2010,SP,3501301,23513
2011,SP,3501301,23579
2012,SP,3501301,23642
2013,SP,3501301,24482
2014,SP,3501301,24568
2015,SP,3501301,24651
2016,SP,3501301,24733
2017,SP,3501301,24813
2018,SP,3501301,24830
2019,SP,3501301,24915
2020,SP,3501301,24998
2010,SP,3501400,4650
2011,SP,3501400,4692
2012,SP,3501400,4732
2013,SP,3501400,4937
2014,SP,3501400,4984
2015,SP,3501400,5030
2016,SP,3501400,5075
2017,SP,3501400,5119
2018,SP,3501400,5179
2019,SP,3501400,5227
2020,SP,3501400,5274
2010,SP,3501509,3000
2011,SP,3501509,3013
2012,SP,3501509,3025
2013,SP,3501509,3137
2014,SP,3501509,3153
2015,SP,3501509,3168
2016,SP,3501509,3182
2017,SP,3501509,3196
2018,SP,3501509,3206
2019,SP,3501509,3222
2020,SP,3501509,3237
2010,SP,3501608,210638
2011,SP,3501608,212791
2012,SP,3501608,214873
2013,SP,3501608,224551
2014,SP,3501608,226970
2015,SP,3501608,229322
2016,SP,3501608,231621
2017,SP,3501608,233868
2018,SP,3501608,237112
2019,SP,3501608,239597
2020,SP,3501608,242018
2010,SP,3501707,34478
2011,SP,3501707,34954
2012,SP,3501707,35413
2013,SP,3501707,37165
2014,SP,3501707,37691
2015,SP,3501707,38202
2016,SP,3501707,38701
2017,SP,3501707,39189
2018,SP,3501707,39962
2019,SP,3501707,40504
2020,SP,3501707,41032
2010,SP,3501806,5706
2011,SP,3501806,5715
2012,SP,3501806,5723
2013,SP,3501806,5916
2014,SP,3501806,5930
2015,SP,3501806,5942
2016,SP,3501806,5955
2017,SP,3501806,5967
2018,SP,3501806,5956
2019,SP,3501806,5969
2020,SP,3501806,5981
2010,SP,3501905,65829
2011,SP,3501905,66246
2012,SP,3501905,66649
2013,SP,3501905,69322
2014,SP,3501905,69808
2015,SP,3501905,70280
2016,SP,3501905,70742
2017,SP,3501905,71193
2018,SP,3501905,71700
2019,SP,3501905,72195
2020,SP,3501905,72677
2010,SP,3502002,4293
2011,SP,3502002,4348
2012,SP,3502002,4401
